loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,fico_score,month_of_year,ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,month_since_earliest_cr_line,ratio_pub_rec_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,charged_off
7000.0,36,12.12,232.91,7,5,1,55000.0,0,2012-03-01,0,12.59,9,0.0,6258.0,73.0,19,1,0,0,0,682.0,2,0.12727272727272726,0.47368421052631576,135,0.0,0.0,-1.0,0
21650.0,60,13.99,503.65,10,1,1,55000.0,2,2012-03-01,1,8.77,13,0.0,6405.0,76.5,17,1,0,0,0,717.0,2,0.3936363636363636,0.7647058823529411,306,0.0,0.0,-1.0,1
13200.0,36,10.74,430.53,6,1,1,45000.0,1,2012-03-01,0,12.8,8,0.0,10665.0,75.6,10,1,0,0,0,707.0,2,0.29333333333333333,0.8,214,0.0,0.0,-1.0,0
4000.0,36,7.9,125.17,3,0,1,19200.0,2,2012-03-01,0,23.47,7,0.0,4732.0,38.8,8,1,0,0,0,712.0,2,0.20833333333333334,0.875,71,0.0,0.0,-1.0,0
6500.0,36,6.62,199.58,1,9,0,72000.0,1,2012-03-01,5,24.35,15,0.0,48798.0,3.3,31,1,0,3,0,777.0,2,0.09027777777777778,0.4838709677419355,248,0.0,0.0,-1.0,0
10000.0,36,14.65,344.95,11,10,2,56000.0,0,2012-03-01,0,16.35,7,0.0,8362.0,68.4,15,1,0,0,0,682.0,2,0.17857142857142858,0.4666666666666667,198,0.0,0.0,-1.0,0
7500.0,36,15.81,262.98,13,3,1,19000.0,0,2012-03-01,4,21.61,14,0.0,9224.0,42.7,30,1,0,0,0,672.0,2,0.39473684210526316,0.4666666666666667,271,0.0,0.0,-1.0,1
25000.0,36,12.12,831.8,7,10,1,130000.0,2,2012-03-01,2,21.28,18,0.0,25184.0,38.6,42,1,0,0,0,732.0,2,0.19230769230769232,0.42857142857142855,199,0.0,0.0,-1.0,0
33600.0,36,14.65,1159.01,11,7,2,92000.0,2,2012-03-01,0,12.27,10,0.0,20591.0,43.9,27,1,0,2,0,717.0,2,0.3652173913043478,0.37037037037037035,188,0.0,0.0,-1.0,0
15000.0,36,18.25,544.17,17,1,1,45000.0,0,2012-03-01,0,11.1,9,0.0,12360.0,76.6,11,1,0,0,0,667.0,2,0.3333333333333333,0.8181818181818182,122,0.0,0.0,-1.0,1
21000.0,36,13.99,717.63,10,6,1,136709.0,2,2012-03-01,4,15.85,6,0.0,18120.0,94.9,13,1,0,1,0,712.0,2,0.15361095465550914,0.46153846153846156,192,0.0,0.0,-1.0,0
22250.0,60,17.99,564.89,16,10,1,45000.0,2,2012-03-01,0,17.79,5,0.0,16876.0,92.7,14,1,0,0,0,727.0,2,0.49444444444444446,0.35714285714285715,198,0.0,0.0,-1.0,1
7500.0,36,13.99,256.3,10,5,0,37000.0,1,2012-03-01,4,15.54,9,0.0,6880.0,80.0,18,1,0,1,0,687.0,2,0.20270270270270271,0.5,125,0.0,0.0,-1.0,0
7200.0,60,19.99,190.72,20,10,1,59400.0,2,2012-03-01,0,10.86,4,0.0,2112.0,50.3,14,1,0,1,0,677.0,2,0.12121212121212122,0.2857142857142857,136,0.0,0.0,-1.0,0
23000.0,36,15.81,806.46,13,3,1,150000.0,0,2012-03-01,0,11.16,11,0.0,27933.0,35.7,33,1,0,0,0,697.0,2,0.15333333333333332,0.3333333333333333,204,0.0,0.0,-1.0,0
18000.0,60,20.5,481.92,21,4,1,68750.0,2,2012-03-01,0,12.71,11,0.0,12692.0,92.6,17,1,0,0,0,682.0,2,0.26181818181818184,0.6470588235294118,171,0.0,0.0,-1.0,0
16000.0,60,18.25,408.48,17,2,1,138000.0,2,2012-03-01,5,9.43,16,0.0,19903.0,85.7,25,1,0,0,0,702.0,2,0.11594202898550725,0.64,182,0.0,0.0,-1.0,0
20000.0,60,14.65,472.14,11,8,0,78000.0,2,2012-03-01,4,11.88,8,0.0,17235.0,79.4,19,1,0,5,0,707.0,2,0.2564102564102564,0.42105263157894735,136,0.0,0.0,-1.0,0
3000.0,36,13.67,102.06,9,4,1,58100.0,0,2012-03-01,0,16.25,7,0.0,703.0,23.4,10,1,0,0,0,672.0,2,0.05163511187607573,0.7,161,0.0,0.0,-1.0,0
28000.0,60,21.48,765.08,23,5,1,120000.0,2,2012-03-01,4,18.64,15,0.0,26436.0,75.9,39,1,0,5,0,682.0,2,0.23333333333333334,0.38461538461538464,199,0.0,0.0,-1.0,0
3200.0,36,15.81,112.21,13,5,1,72500.0,0,2012-03-01,3,22.05,12,0.0,19008.0,93.6,24,1,0,0,0,672.0,2,0.044137931034482755,0.5,133,0.0,0.0,-1.0,0
1000.0,36,14.65,34.5,11,1,1,29000.0,1,2012-03-01,0,0.62,5,0.0,375.0,37.5,12,1,0,0,0,677.0,2,0.034482758620689655,0.4166666666666667,62,0.0,0.0,-1.0,0
3500.0,36,12.12,116.46,7,2,0,76000.0,0,2012-03-01,4,19.01,9,0.0,12708.0,75.6,19,1,0,0,0,682.0,2,0.046052631578947366,0.47368421052631576,281,0.0,0.0,-1.0,0
20000.0,36,8.9,635.07,4,4,0,47640.48,2,2012-03-01,0,9.7,17,0.0,15078.0,28.5,36,1,0,1,0,747.0,2,0.41981105144196695,0.4722222222222222,137,0.0,0.0,-1.0,0
23850.0,60,12.12,531.98,7,9,2,55872.0,2,2012-03-01,8,12.82,8,0.0,4134.0,23.2,15,1,0,1,0,742.0,2,0.4268685567010309,0.5333333333333333,85,0.0,0.0,-1.0,0
4000.0,36,7.9,125.17,3,0,1,54000.0,0,2012-03-01,4,20.93,14,0.0,4592.0,20.2,18,1,0,0,0,722.0,2,0.07407407407407407,0.7777777777777778,113,0.0,0.0,-1.0,0
7800.0,36,13.99,266.55,10,0,0,72000.0,1,2012-03-01,0,22.12,13,0.0,16190.0,72.9,38,1,0,5,0,687.0,2,0.10833333333333334,0.34210526315789475,268,0.0,0.0,-1.0,0
5850.0,36,7.62,182.3,2,7,0,43845.0,2,2012-03-01,0,21.38,9,0.0,14032.0,41.9,26,1,0,2,0,727.0,2,0.13342456380431064,0.34615384615384615,158,0.0,0.0,-1.0,0
3000.0,36,8.9,95.26,4,4,1,95000.0,0,2012-03-01,7,22.56,9,0.0,10104.0,83.5,34,1,0,0,0,722.0,2,0.031578947368421054,0.2647058823529412,183,0.0,0.0,-1.0,0
4000.0,36,9.76,128.62,5,10,0,39600.0,1,2012-03-01,5,21.91,6,1.0,2680.0,62.3,17,1,0,1,1,697.0,2,0.10101010101010101,0.35294117647058826,257,0.0038910505836575876,0.0038910505836575876,1.0,0
12000.0,36,12.12,399.26,7,3,1,54000.0,1,2012-03-01,4,19.15,13,0.0,15985.0,62.2,17,1,0,0,0,687.0,2,0.2222222222222222,0.7647058823529411,267,0.0,0.0,-1.0,0
7000.0,36,10.74,228.32,6,0,1,24000.0,1,2012-03-01,4,7.6,5,0.0,5441.0,83.7,10,1,0,0,0,697.0,2,0.2916666666666667,0.5,70,0.0,0.0,-1.0,0
12000.0,36,10.74,391.39,6,3,1,35000.0,1,2012-03-01,4,21.02,9,0.0,20654.0,54.2,22,1,0,0,0,722.0,2,0.34285714285714286,0.4090909090909091,112,0.0,0.0,-1.0,0
16000.0,36,15.31,557.08,12,3,0,50750.0,2,2012-03-01,0,22.63,15,0.0,10892.0,65.2,16,1,0,0,0,687.0,2,0.31527093596059114,0.9375,120,0.0,0.0,-1.0,0
15000.0,36,7.9,469.36,3,10,0,86000.0,0,2012-03-01,4,8.26,8,0.0,13173.0,61.3,16,1,0,5,0,737.0,2,0.1744186046511628,0.5,198,0.0,0.0,-1.0,0
6000.0,36,7.9,187.75,3,10,1,39500.0,0,2012-03-01,0,6.11,5,0.0,3386.0,49.1,26,1,0,0,0,722.0,2,0.1518987341772152,0.19230769230769232,136,0.0,0.0,-1.0,0
7800.0,36,7.9,244.07,3,2,1,27000.0,0,2012-03-01,0,27.73,9,0.0,6736.0,35.6,17,1,0,0,0,732.0,2,0.28888888888888886,0.5294117647058824,120,0.0,0.0,-1.0,0
8500.0,36,13.67,289.15,9,10,1,39600.0,0,2012-03-01,5,16.61,9,0.0,5363.0,32.3,28,1,0,4,0,697.0,2,0.21464646464646464,0.32142857142857145,141,0.0,0.0,-1.0,0
20000.0,60,18.55,513.88,18,8,1,41600.0,2,2012-03-01,0,21.13,5,0.0,15127.0,67.3,13,1,0,0,0,692.0,2,0.4807692307692308,0.38461538461538464,170,0.0,0.0,-1.0,0
12400.0,36,6.62,380.73,1,4,0,70000.0,2,2012-03-01,2,29.5,13,0.0,18002.0,34.4,26,1,0,1,0,742.0,2,0.17714285714285713,0.5,116,0.0,0.0,-1.0,0
15600.0,36,8.9,495.36,4,8,1,59000.0,0,2012-03-01,4,23.9,11,0.0,29105.0,89.6,34,1,0,0,0,722.0,2,0.26440677966101694,0.3235294117647059,173,0.0,0.0,-1.0,0
14300.0,36,8.9,454.08,4,4,0,29000.0,1,2012-03-01,0,13.45,10,0.0,7439.0,30.4,24,1,0,0,0,742.0,2,0.49310344827586206,0.4166666666666667,96,0.0,0.0,-1.0,0
25000.0,36,10.74,815.4,6,10,1,75000.0,2,2012-03-01,0,18.97,12,0.0,25935.0,38.3,30,1,0,0,0,737.0,2,0.3333333333333333,0.4,232,0.0,0.0,-1.0,1
9850.0,36,7.9,308.21,3,7,1,25000.0,1,2012-03-01,0,5.44,12,0.0,6102.0,26.1,19,1,0,0,0,727.0,2,0.394,0.631578947368421,69,0.0,0.0,-1.0,0
4800.0,36,14.65,165.58,11,2,1,9888.0,1,2012-03-01,12,23.06,3,1.0,1705.0,81.2,10,1,0,0,1,692.0,2,0.4854368932038835,0.3,188,0.005319148936170213,0.005319148936170213,1.0,0
20000.0,60,18.55,513.88,18,5,1,45585.0,2,2012-03-01,0,24.86,9,0.0,11314.0,87.0,16,1,0,0,0,697.0,2,0.4387408138642097,0.5625,280,0.0,0.0,-1.0,0
14825.0,36,8.9,470.75,4,5,0,56500.0,0,2012-03-01,4,18.67,10,0.0,16752.0,68.1,19,1,0,1,0,722.0,2,0.26238938053097344,0.5263157894736842,107,0.0,0.0,-1.0,1
9600.0,36,6.62,294.76,1,5,0,70000.0,0,2012-03-01,0,7.61,6,0.0,6651.0,64.0,12,1,0,1,0,737.0,2,0.13714285714285715,0.5,138,0.0,0.0,-1.0,0
24000.0,60,15.31,574.88,12,2,0,135000.0,2,2012-03-01,2,9.88,5,0.0,13312.0,90.6,29,1,0,6,0,737.0,2,0.17777777777777778,0.1724137931034483,161,0.0,0.0,-1.0,0
16000.0,36,6.62,491.26,1,6,0,60000.0,0,2012-03-01,7,6.74,5,0.0,7111.0,14.1,27,1,0,9,0,772.0,2,0.26666666666666666,0.18518518518518517,206,0.0,0.0,-1.0,0
15000.0,36,18.25,544.17,17,10,0,60945.0,2,2012-03-01,0,22.45,19,0.0,13205.0,44.3,26,1,0,4,0,667.0,2,0.24612355402412012,0.7307692307692307,204,0.0,0.0,-1.0,1
15000.0,36,8.9,476.3,4,6,1,76000.0,0,2012-03-01,0,5.29,9,0.0,8743.0,38.3,22,1,0,0,0,737.0,2,0.19736842105263158,0.4090909090909091,164,0.0,0.0,-1.0,0
3500.0,36,12.12,116.46,7,1,1,60000.0,0,2012-03-01,0,21.47,11,0.0,15188.0,91.5,25,1,0,0,0,692.0,2,0.058333333333333334,0.44,102,0.0,0.0,-1.0,0
35000.0,36,18.25,1269.73,17,5,0,130000.0,2,2012-03-01,4,9.41,15,0.0,57221.0,81.4,19,1,0,3,0,697.0,2,0.2692307692307692,0.7894736842105263,201,0.0,0.0,-1.0,0
20000.0,60,13.67,461.96,9,8,0,117000.0,2,2012-03-01,2,14.52,14,0.0,29338.0,62.8,27,1,0,4,0,732.0,2,0.17094017094017094,0.5185185185185185,160,0.0,0.0,-1.0,0
35000.0,60,20.99,946.68,22,3,2,174000.0,1,2012-03-01,0,12.07,8,0.0,42906.0,89.8,20,1,0,4,0,707.0,2,0.20114942528735633,0.4,185,0.0,0.0,-1.0,0
9700.0,36,17.27,347.14,15,10,0,55000.0,0,2012-03-01,0,7.48,8,0.0,9807.0,61.3,25,1,0,2,0,667.0,2,0.17636363636363636,0.32,122,0.0,0.0,-1.0,0
20000.0,36,12.12,665.44,7,1,0,68000.0,1,2012-03-01,0,17.58,7,0.0,21198.0,67.3,15,1,0,1,0,707.0,2,0.29411764705882354,0.4666666666666667,147,0.0,0.0,-1.0,0
10000.0,36,6.62,307.04,1,2,0,145000.0,0,2012-03-01,0,5.93,6,0.0,12362.0,48.5,24,1,0,5,0,757.0,2,0.06896551724137931,0.25,181,0.0,0.0,-1.0,1
2800.0,36,10.74,91.33,6,10,0,50000.0,0,2012-03-01,4,20.61,17,0.0,17107.0,75.7,31,1,0,1,0,702.0,2,0.056,0.5483870967741935,160,0.0,0.0,-1.0,0
10000.0,36,8.9,317.54,4,2,1,25000.0,1,2012-03-01,8,8.5,6,0.0,6202.0,58.0,8,1,0,0,0,712.0,2,0.4,0.75,80,0.0,0.0,-1.0,0
4000.0,36,13.67,136.08,9,10,0,57000.0,1,2012-03-01,0,18.53,12,0.0,10594.0,92.1,40,1,0,0,0,697.0,2,0.07017543859649122,0.3,198,0.0,0.0,-1.0,0
12000.0,36,14.65,413.94,11,4,1,42000.0,0,2012-03-01,4,6.66,3,0.0,7780.0,67.7,10,1,0,0,0,712.0,2,0.2857142857142857,0.3,192,0.0,0.0,-1.0,0
12400.0,36,8.9,393.74,4,6,0,86700.0,2,2012-03-01,0,15.39,13,0.0,14535.0,31.3,35,1,0,2,0,717.0,2,0.14302191464821223,0.37142857142857144,136,0.0,0.0,-1.0,0
7500.0,36,12.12,249.54,7,5,1,88000.0,0,2012-03-01,3,6.9,10,0.0,14745.0,38.5,11,1,0,0,0,692.0,2,0.08522727272727272,0.9090909090909091,106,0.0,0.0,-1.0,0
10000.0,36,8.9,317.54,4,5,0,50000.0,2,2012-03-01,4,27.38,14,0.0,12766.0,52.1,32,1,0,1,0,722.0,2,0.2,0.4375,147,0.0,0.0,-1.0,0
6000.0,36,12.12,199.63,7,3,1,52000.0,0,2012-03-01,0,15.09,14,0.0,7174.0,78.0,24,1,0,0,0,677.0,2,0.11538461538461539,0.5833333333333334,159,0.0,0.0,-1.0,0
1400.0,36,15.81,49.09,13,0,1,21600.0,0,2012-03-01,5,0.11,5,0.0,2.0,0.3,19,1,0,0,0,692.0,2,0.06481481481481481,0.2631578947368421,42,0.0,0.0,-1.0,1
14000.0,36,13.11,472.46,8,3,1,80000.0,0,2012-03-01,12,10.38,8,0.0,11270.0,73.7,11,1,0,0,0,682.0,2,0.175,0.7272727272727273,61,0.0,0.0,-1.0,0
15000.0,36,7.62,467.43,2,3,0,54000.0,0,2012-03-01,0,9.93,14,0.0,16650.0,43.0,29,1,0,0,0,752.0,2,0.2777777777777778,0.4827586206896552,213,0.0,0.0,-1.0,0
27000.0,60,14.65,637.38,11,10,2,80000.0,2,2012-03-01,5,15.33,9,0.0,12687.0,22.8,21,1,0,0,0,732.0,2,0.3375,0.42857142857142855,257,0.0,0.0,-1.0,0
10000.0,36,12.12,332.72,7,3,2,65000.0,0,2012-03-01,4,15.66,9,0.0,9441.0,42.7,18,1,0,0,0,707.0,2,0.15384615384615385,0.5,359,0.0,0.0,-1.0,0
20000.0,36,7.9,625.81,3,5,1,65000.0,2,2012-03-01,0,17.75,9,0.0,18727.0,73.7,34,1,0,0,0,747.0,2,0.3076923076923077,0.2647058823529412,140,0.0,0.0,-1.0,0
3400.0,36,13.11,114.74,8,0,1,34000.0,0,2012-03-01,0,20.51,13,0.0,7387.0,64.3,18,1,0,0,0,687.0,2,0.1,0.7222222222222222,183,0.0,0.0,-1.0,1
8500.0,36,8.9,269.91,4,7,1,50000.0,1,2012-03-01,5,13.42,13,0.0,15662.0,76.2,18,1,0,0,0,717.0,2,0.17,0.7222222222222222,123,0.0,0.0,-1.0,1
8900.0,36,9.76,286.18,5,0,1,20000.0,1,2012-03-01,0,15.78,5,0.0,12349.0,36.9,6,1,0,0,0,722.0,2,0.445,0.8333333333333334,406,0.0,0.0,-1.0,1
24000.0,36,13.99,820.15,10,0,1,83200.0,2,2012-03-01,4,15.23,7,0.0,24268.0,92.3,13,1,0,0,0,712.0,2,0.28846153846153844,0.5384615384615384,95,0.0,0.0,-1.0,0
7200.0,36,13.11,242.98,8,2,1,44000.0,0,2012-03-01,8,3.53,7,0.0,4500.0,38.0,7,1,0,0,0,697.0,2,0.16363636363636364,1.0,54,0.0,0.0,-1.0,0
27175.0,60,21.97,750.09,24,10,1,55000.0,2,2012-03-01,0,12.31,5,0.0,20172.0,97.0,12,1,0,0,0,707.0,2,0.4940909090909091,0.4166666666666667,143,0.0,0.0,-1.0,0
4125.0,36,6.62,126.66,1,2,2,30000.0,0,2012-03-01,0,6.29,5,0.0,4985.0,53.6,6,1,0,0,0,757.0,2,0.1375,0.8333333333333334,189,0.0,0.0,-1.0,0
17000.0,60,17.99,431.6,16,10,0,34653.0,2,2012-03-01,0,19.57,10,0.0,19414.0,93.3,22,1,0,1,0,722.0,2,0.4905780163333622,0.45454545454545453,197,0.0,0.0,-1.0,0
6500.0,36,6.03,197.84,0,7,0,68950.0,0,2012-03-01,0,6.38,8,0.0,7879.0,31.8,16,1,0,4,0,767.0,2,0.09427121102248005,0.5,317,0.0,0.0,-1.0,0
13000.0,36,10.74,424.01,6,10,0,49000.0,0,2012-03-01,5,12.77,8,0.0,3013.0,20.8,28,1,0,2,0,702.0,2,0.2653061224489796,0.2857142857142857,164,0.0,0.0,-1.0,0
10800.0,36,6.62,331.6,1,8,1,36000.0,0,2012-03-01,4,11.72,7,0.0,10377.0,66.9,12,1,0,0,0,737.0,2,0.3,0.5833333333333334,95,0.0,0.0,-1.0,0
7000.0,36,8.9,222.28,4,10,0,114000.0,0,2012-03-01,4,14.21,11,0.0,13701.0,40.3,25,1,0,2,0,722.0,2,0.06140350877192982,0.44,211,0.0,0.0,-1.0,0
4000.0,60,12.12,89.23,7,0,1,43500.0,2,2012-03-01,5,27.81,11,0.0,1801.0,25.7,48,1,0,0,0,742.0,2,0.09195402298850575,0.22916666666666666,104,0.0,0.0,-1.0,0
20000.0,36,6.62,614.08,1,1,0,142000.0,1,2012-03-01,0,7.81,9,0.0,22328.0,33.4,24,1,0,2,0,772.0,2,0.14084507042253522,0.375,254,0.0,0.0,-1.0,0
3000.0,36,7.62,93.49,2,7,0,48000.0,1,2012-03-01,5,10.36,18,0.0,3478.0,9.3,46,1,0,1,0,732.0,2,0.0625,0.391304347826087,141,0.0,0.0,-1.0,0
8000.0,36,18.25,290.23,17,10,1,87000.0,0,2012-03-01,2,16.37,9,0.0,11614.0,96.8,37,1,0,6,0,672.0,2,0.09195402298850575,0.24324324324324326,197,0.0,0.0,-1.0,0
22000.0,60,16.29,538.4,14,10,0,60000.0,2,2012-03-01,4,24.62,5,0.0,22357.0,76.3,16,1,0,2,0,722.0,2,0.36666666666666664,0.3125,197,0.0,0.0,-1.0,0
7200.0,36,6.03,219.14,0,10,0,45000.0,0,2012-03-01,4,12.72,19,0.0,73915.0,16.8,36,1,0,0,0,782.0,2,0.16,0.5277777777777778,416,0.0,0.0,-1.0,0
9000.0,36,6.62,276.34,1,0,1,21000.0,2,2012-03-01,0,19.83,6,0.0,2451.0,24.3,10,1,0,0,0,737.0,2,0.42857142857142855,0.6,60,0.0,0.0,-1.0,0
16000.0,36,7.62,498.59,2,5,1,48000.0,0,2012-03-01,4,28.1,8,0.0,10410.0,24.2,19,1,0,0,0,767.0,2,0.3333333333333333,0.42105263157894735,344,0.0,0.0,-1.0,0
